@relation arousal
            
@attribute Angry numeric
@attribute ConcentrationLevel numeric
@attribute Embarrassment numeric
@attribute Excitement numeric
@attribute Hesitation numeric
@attribute ImaginationActivity numeric
@attribute IntensiveThinking numeric
@attribute Content numeric
@attribute SAF numeric
@attribute Upset numeric
@attribute ExtremeState numeric
@attribute Stress numeric
@attribute Uncertainty numeric
@attribute Energy numeric
@attribute BrainPower numeric
@attribute EmoCogRatio numeric
@attribute MaxAmpVol numeric
@attribute VoiceEnergy numeric
@attribute arousal {-2,-1,0,1,2}

@data
26,1,7,27,19,2,9,30,0,0,23,6,8,50,2182,359,32767,41,1
26,0,0,28,15,7,15,30,0,0,28,7,9,50,2135,302,32767,184,1
28,15,0,28,21,4,20,30,0,0,30,4,5,50,2248,297,32767,108,1
29,0,0,26,19,2,5,30,0,0,30,0,2,50,2120,431,32767,51,1
28,5,0,27,19,0,4,30,5,0,30,4,5,50,2175,420,32767,92,1
29,9,0,28,17,1,6,30,0,0,30,2,4,50,2271,433,32767,51,1
30,1,0,30,12,5,4,30,0,0,30,1,3,50,2203,444,32767,123,1
30,21,0,30,17,2,1,30,0,0,30,0,1,50,2359,544,32767,82,1
30,4,0,30,11,5,13,30,0,0,30,3,3,50,2057,322,32767,655,1
28,0,7,26,15,0,4,30,0,0,28,0,3,50,2104,433,32767,26,1
17,4,0,30,17,6,20,30,0,0,23,4,12,32,2152,268,32766,92,1
29,14,0,30,19,6,16,30,0,0,30,6,6,50,2296,330,32767,169,1
30,8,0,30,12,3,7,30,0,0,30,0,2,50,2422,461,32767,31,1
28,6,0,28,19,7,11,30,0,0,26,4,7,50,2235,358,32767,46,1
30,7,0,30,9,3,14,30,0,0,30,0,2,50,2465,393,32767,26,1
28,5,0,28,12,4,10,30,0,0,26,3,7,50,2280,377,32767,51,1
30,1,14,29,12,5,14,30,0,0,30,4,4,50,2318,357,32767,430,1
30,16,0,26,17,3,8,30,0,0,30,0,1,50,2131,397,32767,492,1
29,0,0,28,15,3,19,30,0,0,30,2,4,50,2250,310,32767,20,1
30,8,0,30,17,6,14,30,0,0,30,2,2,50,2267,354,32767,31,1
29,4,0,29,17,8,17,30,0,0,30,4,5,50,2224,311,32767,517,1
30,0,0,30,15,2,1,30,2,0,30,0,1,50,2180,513,32767,31,1
30,3,0,30,15,7,18,30,3,0,30,2,3,50,2381,334,32767,31,1
30,4,0,28,17,5,9,30,2,0,30,2,3,50,2240,396,32767,20,1
30,0,7,30,17,4,8,30,4,0,30,4,5,50,2374,416,32767,20,1
30,0,0,28,17,5,19,30,0,0,30,0,3,50,2206,310,32767,72,1
30,7,0,27,21,4,10,30,3,0,30,0,1,50,2134,379,32767,41,1
30,0,0,29,12,2,6,30,0,0,28,0,3,50,2297,437,32767,61,1
29,0,0,26,15,0,6,30,2,0,28,2,2,50,2111,410,32767,87,1
18,0,21,26,8,0,9,30,1,0,22,4,9,35,2047,337,32767,31,1
29,0,0,28,19,6,10,30,0,0,30,3,4,50,2176,372,32767,307,1
30,0,0,30,17,3,17,30,2,0,30,0,1,50,2367,353,32767,31,1
29,0,0,26,17,2,7,30,3,0,30,0,2,50,2109,400,32767,67,1
28,3,0,28,15,3,12,30,7,0,30,2,5,50,2285,361,32767,108,1
9,0,30,22,13,8,30,22,0,0,20,6,14,26,1915,187,23039,67,1
22,11,0,28,21,3,13,30,4,0,25,6,8,41,2260,342,32767,389,1
28,0,0,27,12,2,7,30,0,0,26,1,4,50,2183,407,32767,36,1
28,3,0,23,15,0,0,30,4,0,30,0,1,50,1873,452,32767,51,1
30,4,0,30,12,1,6,30,0,0,30,2,4,50,2379,449,32767,46,1
28,0,0,29,15,5,19,30,0,0,28,2,6,50,2331,314,32766,26,1
26,5,0,30,15,9,13,30,5,0,28,4,9,46,2235,327,32255,82,1
28,15,0,28,19,7,17,30,0,0,27,2,6,50,2292,323,32511,77,1
30,3,7,29,12,5,8,30,2,0,30,0,1,50,2303,424,32767,20,1
30,2,0,29,15,3,2,30,0,0,30,0,4,50,1970,415,32767,620,1
28,5,0,26,17,4,10,30,0,0,30,2,4,50,2108,356,32767,41,1
30,0,0,30,17,6,6,30,0,0,30,0,3,50,2372,454,32767,41,1
28,0,21,29,15,4,14,30,1,0,28,4,6,50,2305,349,32767,148,1
15,5,0,27,19,3,16,26,0,0,30,2,10,29,2223,305,32766,220,1
30,5,0,30,15,1,2,30,0,0,30,0,1,50,2272,501,32767,41,1
30,11,0,30,15,4,12,30,0,0,30,1,3,50,2397,387,32767,123,1
28,5,0,27,12,3,12,30,4,0,30,2,6,50,2202,344,32767,31,1
28,0,7,26,17,1,4,30,0,0,23,0,4,50,2110,423,32767,72,1
30,0,0,30,15,3,6,30,3,0,30,0,2,50,2350,457,32767,20,1
30,7,0,30,19,5,18,30,0,0,30,0,3,50,2362,334,32767,195,1
27,25,0,28,17,5,13,30,0,0,24,2,8,50,2253,338,32767,430,1
