@relation valence

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute valence {-2,-1,0,1,2}

@data
34,2,3,63,110,9,290,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,114,2,1,16,2,2,1,6,1,1,2,3,0,-174,72,-26,47,-19,-10,9,21,-30,-2
36,3,3,55,86,7,232,5,-38,6,1,1,0,0,0,0,0,-1,0,0,0,1,114,8,1,9,1,3,2,3,0,2,0,9,1,-186,71,4,25,-14,-6,11,10,-19,-2
35,4,3,67,106,7,255,5,-38,5,1,1,0,0,1,0,0,0,0,0,0,1,120,4,1,12,1,3,2,5,0,1,1,7,1,-170,53,1,23,-3,-6,4,11,-14,-2
44,2,2,65,100,11,225,6,-38,6,1,0,0,1,1,0,0,0,0,0,0,1,103,1,0,11,3,2,3,2,0,1,2,13,0,-186,71,5,30,-15,-8,2,13,-15,-2
39,5,3,60,93,15,312,5,-38,5,0,1,0,1,1,0,0,0,0,0,0,1,117,1,0,15,3,3,2,4,0,1,3,7,1,-194,89,3,22,-15,-12,5,11,-15,-2
41,3,3,64,95,18,310,6,-38,6,1,0,0,1,1,0,0,0,0,0,0,1,138,4,1,10,4,4,3,2,1,1,2,9,1,-190,77,9,25,-25,2,5,16,-22,-2
35,2,2,53,87,11,208,5,-38,6,1,1,0,1,1,0,0,-1,0,0,0,1,104,3,1,8,1,3,3,3,0,0,3,12,1,-182,64,5,26,-11,-7,5,10,-15,-2
31,6,3,55,92,4,266,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,121,2,1,11,2,8,1,6,0,0,2,4,0,-187,73,6,27,-16,-12,8,14,-17,-2
39,6,3,57,89,7,329,5,-37,5,1,1,0,1,0,0,0,-1,0,0,0,1,131,5,1,11,1,3,1,2,0,1,2,9,1,-194,94,-17,28,-15,3,6,12,-27,-2
33,2,3,51,86,7,268,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,111,4,0,12,2,3,1,3,0,0,2,10,0,-189,85,-11,31,-22,-2,9,13,-24,-2
43,3,3,67,101,23,365,6,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,150,5,0,12,2,6,1,5,1,1,2,3,1,-193,100,-20,23,-15,5,0,16,-21,-2
46,5,3,70,102,34,249,6,-37,5,0,1,0,1,1,0,0,-1,0,0,0,1,120,3,1,12,3,9,4,2,1,1,1,4,2,-199,101,-8,27,-36,12,6,23,-36,-2
30,4,2,54,86,5,194,4,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,110,0,0,6,4,4,2,2,0,0,2,17,2,-200,95,2,20,-21,-6,11,14,-21,-2
53,5,3,67,82,36,235,7,-37,6,0,0,0,1,1,0,0,-1,0,0,0,1,110,2,1,8,1,6,4,4,1,1,1,12,1,-228,155,-35,31,-25,4,-1,9,-17,-2
37,2,3,55,92,15,258,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,116,1,2,11,2,3,2,4,0,1,5,7,0,-200,106,-26,48,-34,3,-1,19,-27,-2
54,4,3,73,99,47,307,7,-37,5,0,0,0,1,1,1,0,-1,0,0,0,1,130,2,2,10,3,6,2,7,1,1,4,5,1,-216,137,-32,34,-30,13,-13,20,-27,-2
36,2,3,56,87,15,240,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,117,0,0,10,1,3,3,2,1,0,2,17,0,-192,81,5,24,-23,-1,8,14,-22,-2
46,4,3,68,110,11,294,6,-38,5,1,0,0,1,1,0,0,-1,0,0,0,1,115,1,1,12,4,2,1,5,0,1,4,8,1,-179,68,-11,45,-29,3,4,21,-30,-2
41,5,3,60,84,20,332,6,-37,5,1,1,0,1,1,0,0,-1,0,0,0,1,128,1,1,8,2,5,3,3,1,1,5,11,1,-206,105,6,7,-19,-1,12,12,-21,-2
36,2,3,67,116,7,291,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,115,1,1,13,2,4,1,5,0,1,1,7,1,-158,26,9,42,-26,8,2,15,-26,-2
39,3,3,58,85,14,295,5,-38,6,1,0,0,1,1,0,0,-1,0,0,0,1,109,2,1,11,2,3,3,4,0,1,2,12,1,-201,95,4,23,-22,-6,8,14,-21,-2
52,4,3,68,88,33,271,8,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,110,2,1,8,3,3,4,4,0,2,2,14,1,-213,110,21,-1,-26,1,13,16,-26,-2
38,3,3,69,112,14,325,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,128,2,1,13,1,5,3,4,0,0,3,6,1,-184,77,-12,47,-30,-7,6,20,-26,-2
