Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,,,,,,,,,
alex_boredom.wav,31,1,2,65,119,3,185,3,-40,5,1,1,1,1,1,0,0,-1,0,0,0,1,113,0,3,16,1,4,0,0,0,0,4,4,0,-162,61,-59,78,-3,-17,-12,32,-19
alex_boredom.wav,22,1,3,46,91,2,238,3,-40,5,1,1,1,1,1,0,0,-1,0,1,0,0,109,1,0,14,2,2,3,7,0,0,0,8,0,-185,83,-18,42,-33,2,13,17,-28
alex_boredom.wav,29,2,3,56,103,3,287,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,116,0,0,14,4,5,2,8,0,0,0,8,1,-179,84,-43,59,-25,-5,6,23,-17
alex_boredom.wav,29,1,2,46,87,1,204,3,-39,5,1,1,0,0,1,0,0,0,0,0,0,1,116,1,0,12,3,1,3,1,0,0,2,5,0,-196,99,-26,45,-15,-15,4,19,-34
alex_boredom.wav,24,1,3,38,67,1,388,3,-40,6,1,1,0,0,0,0,0,0,0,0,0,0,81,0,1,6,0,5,2,0,0,0,8,9,0,-184,64,4,31,-19,5,4,9,-15
alex_boredom.wav,32,0,3,56,100,4,447,5,-40,5,1,1,0,1,1,0,0,-1,0,0,0,1,99,1,1,20,0,4,1,5,0,0,6,5,1,-186,84,-27,64,-54,23,-6,20,-28
alex_boredom.wav,37,1,2,55,93,16,617,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,103,0,3,15,0,6,1,6,0,0,6,4,0,-188,78,-8,46,-36,3,7,11,-15
alex_boredom.wav,36,1,3,49,78,22,587,6,-39,6,1,1,0,1,1,0,0,0,0,0,0,1,103,1,0,10,1,9,4,4,0,1,3,11,0,-194,74,24,16,-19,-8,2,7,-5
alex_boredom.wav,34,1,2,45,74,6,342,4,-40,6,1,1,0,1,1,0,0,0,0,0,1,1,117,0,0,20,0,1,3,1,0,1,0,4,0,-188,78,-6,43,-37,2,12,6,-15
alex_boredom.wav,38,1,2,57,80,19,337,7,-38,6,0,0,0,1,1,1,0,-1,0,0,0,1,101,1,3,8,0,3,3,4,0,0,3,8,0,-204,93,15,20,-17,-15,7,4,-10
alex_boredom.wav,31,1,2,53,79,22,218,5,-39,6,0,1,1,1,1,0,0,0,0,0,0,1,108,2,0,12,2,1,6,3,1,0,1,10,0,-198,86,12,21,-12,-22,7,10,-10
alex_disgust.wav,44,4,3,56,75,5,204,6,-38,6,0,1,0,0,1,1,0,-1,0,0,0,1,119,0,2,21,0,2,2,1,0,0,1,1,0,-220,123,4,25,-35,-6,1,18,-21
alex_disgust.wav,36,5,2,64,117,26,411,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,119,0,0,11,0,6,1,0,0,1,1,2,1,-174,56,4,32,-18,-12,8,14,-8
alex_disgust.wav,42,9,3,54,78,4,707,6,-37,5,0,1,0,0,1,1,0,0,0,0,0,1,124,3,3,15,1,1,0,8,0,1,0,7,0,-209,133,-51,53,-32,11,-19,30,-21
alex_disgust.wav,31,0,2,92,176,4,234,3,-41,5,1,1,1,1,1,0,0,-1,0,0,0,1,107,1,0,17,2,5,0,4,0,0,0,8,0,-100,-36,-42,76,31,-14,-36,22,-18
alex_disgust.wav,57,4,2,78,120,7,790,6,-37,5,0,0,0,0,1,0,0,-1,-1,0,0,1,103,5,3,16,0,1,1,1,0,3,1,0,0,-181,77,-9,26,-8,-16,6,17,-4
alex_disgust.wav,34,1,2,73,141,8,523,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,114,5,0,11,1,4,1,7,0,1,3,0,0,-131,-10,-1,63,-15,-3,-14,26,-13
alex_disgust.wav,52,6,3,65,85,39,848,6,-38,5,0,0,0,1,1,1,0,-1,0,1,0,1,129,3,0,12,0,13,0,3,0,0,3,4,4,-223,155,-47,48,-46,-4,21,19,-41
alex_disgust.wav,52,5,3,66,83,44,472,7,-36,6,1,0,0,1,1,0,0,0,0,0,0,1,109,10,4,4,1,7,1,4,1,1,0,11,0,-227,145,-30,39,-33,11,-7,18,-20
alex_disgust.wav,28,1,2,49,85,4,296,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,119,4,0,19,2,1,0,0,0,3,5,1,1,-179,73,-15,38,-16,-10,9,17,-25
alex_disgust.wav,40,4,3,62,79,24,369,7,-37,6,0,0,0,1,1,0,0,0,0,0,0,1,107,4,0,9,0,4,4,6,0,1,3,17,0,-221,125,7,19,-34,-7,5,19,-9
alex_disgust.wav,46,6,3,68,93,28,588,8,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,129,0,0,9,3,7,3,1,0,0,4,16,0,-217,135,-21,17,-21,6,8,4,-4
alex_disgust.wav,38,1,3,59,90,5,241,7,-37,6,1,0,0,0,1,0,0,0,0,0,0,1,109,0,2,7,1,5,5,16,1,0,2,12,0,-209,105,6,23,-35,9,1,31,-23
alex_disgust.wav,45,7,3,61,72,14,596,7,-37,6,0,0,0,1,1,0,0,-1,-1,0,0,1,144,4,0,13,5,0,1,3,0,0,2,9,4,-220,138,-15,14,-27,7,2,15,-14
alex_disgust.wav,44,4,3,65,99,25,611,6,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,138,0,1,24,3,6,0,2,0,0,3,1,1,-201,115,-26,24,-13,-7,8,18,-19
alex_disgust.wav,30,2,3,56,93,3,316,5,-38,5,1,1,0,0,0,0,0,0,0,0,0,1,114,8,4,8,3,6,2,3,0,3,1,6,0,-202,103,-11,29,-20,-9,18,9,-26
alex_disgust.wav,37,4,2,63,100,2,664,5,-37,5,1,1,0,0,1,0,0,0,0,0,0,1,127,12,3,10,0,1,1,2,0,4,5,3,1,-191,71,15,17,-6,-9,10,6,-8
alex_disgust.wav,27,1,2,57,107,2,273,4,-39,6,1,1,0,0,1,0,0,0,0,0,0,1,100,0,0,6,1,2,4,0,0,0,1,21,0,-164,34,5,43,-20,5,0,19,-20
alex_disgust.wav,27,1,2,58,99,6,436,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,124,0,0,13,1,5,1,4,0,1,0,3,0,-187,83,-3,21,-11,-16,13,15,-22
alex_disgust.wav,47,6,2,63,81,27,894,6,-36,6,0,0,0,1,1,0,0,0,0,0,0,1,215,2,0,8,1,8,0,3,0,1,3,14,3,-221,134,-12,18,-23,3,-8,23,-30
alex_disgust.wav,42,3,2,53,73,13,301,7,-38,6,1,0,0,0,0,0,0,0,0,0,0,1,103,6,0,0,0,2,6,4,0,0,3,14,1,-205,88,13,21,-6,-15,9,6,-23
alex_disgust.wav,29,9,3,46,70,6,737,4,-38,6,1,1,0,1,1,1,0,-1,0,0,0,1,127,2,0,11,0,15,3,0,0,0,3,5,0,-193,84,-3,28,-17,-3,13,12,-21
alex_disgust.wav,38,6,3,59,84,2,959,4,-37,6,1,0,0,0,0,0,0,-1,0,0,0,1,168,6,1,12,0,1,0,3,0,1,1,6,2,-212,122,-22,36,-36,7,17,7,-37
alex_disgust.wav,37,3,3,59,86,10,495,5,-38,6,1,0,0,1,1,0,0,-1,0,0,0,1,107,7,1,6,5,5,2,6,1,0,5,15,0,-206,105,-4,27,-23,-5,16,6,-20
alex_disgust.wav,43,4,3,65,98,25,398,5,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,109,2,1,23,3,2,0,3,0,1,3,0,0,-197,118,-45,33,-14,8,-8,24,-17
alex_disgust.wav,50,6,3,75,103,44,398,7,-36,5,0,1,0,1,1,0,0,0,0,0,0,1,125,3,0,13,5,10,0,4,4,4,0,4,1,-219,142,-8,-18,-10,13,2,21,-19
alex_disgust.wav,32,3,3,59,92,8,660,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,115,0,0,12,5,1,5,2,1,0,1,19,2,-204,108,-4,16,-22,-8,13,15,-18
alex_disgust.wav,49,4,3,61,88,36,495,7,-37,5,1,0,0,1,1,0,0,0,0,0,0,1,108,2,0,5,0,9,1,8,0,0,3,6,2,-204,99,3,18,-11,-11,6,7,-9
alex_disgust.wav,49,4,3,60,81,21,421,7,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,95,0,3,7,0,4,3,10,1,3,2,9,1,-254,225,-100,68,-67,53,-41,30,-25
alex_disgust.wav,59,4,3,69,84,48,244,9,-36,6,0,0,0,1,1,1,0,-1,0,0,0,1,108,5,0,6,1,6,0,11,1,1,8,3,0,-239,174,-45,37,-39,12,1,18,-37
alex_disgust.wav,36,1,2,56,95,22,668,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,220,1,0,14,2,4,1,2,0,0,2,9,0,-174,59,-2,29,-13,-1,5,15,-6
alex_disgust.wav,43,3,2,72,126,21,629,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,127,5,0,9,1,4,0,7,1,0,6,8,0,-155,33,-4,38,-6,-12,6,18,-8
alex_disgust.wav,42,4,2,59,86,21,726,5,-37,5,1,1,0,1,1,0,0,0,0,0,0,1,229,0,0,10,0,1,2,2,1,1,18,3,0,-204,107,0,10,-25,0,21,9,-20
alex_disgust.wav,29,1,3,59,111,14,411,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,126,1,0,14,1,8,1,10,0,1,0,9,2,-167,41,9,37,-29,6,7,17,-24
alex_disgust.wav,34,2,3,59,88,16,558,7,-38,5,0,0,0,1,1,0,0,-1,0,0,0,1,99,1,2,11,1,0,5,1,0,1,4,5,1,-211,108,4,26,-37,5,7,13,-23
alex_disgust.wav,44,4,3,63,86,32,565,7,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,110,0,0,12,0,2,5,1,1,0,3,10,1,-223,127,15,14,-54,7,22,23,-27
alex_disgust.wav,41,1,2,89,145,6,491,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,91,1,3,17,0,1,2,2,0,1,4,5,0,-154,51,-46,75,-28,6,-12,25,-26
alex_disgust.wav,54,2,2,63,88,34,217,8,-37,6,1,0,0,1,1,0,0,0,0,0,0,1,93,1,0,10,3,5,1,5,1,1,6,7,1,-209,111,-10,33,-27,1,1,20,-16
alex_disgust.wav,51,3,3,68,97,34,565,7,-38,5,0,1,1,1,1,0,0,-1,0,0,0,1,118,0,1,19,2,9,3,0,1,3,1,6,1,-205,112,-12,26,-14,-20,8,13,-16
alex_disgust.wav,36,2,2,66,103,16,499,6,-38,5,0,0,0,1,0,0,0,-1,0,0,0,1,101,8,0,3,2,3,3,4,1,2,0,14,0,-200,101,-6,23,-27,7,6,9,-29
alex_disgust.wav,41,5,2,59,82,20,875,7,-37,6,1,1,0,1,1,0,0,-1,0,0,0,1,121,4,0,9,0,6,2,6,1,0,0,9,0,-215,126,-3,11,-40,15,14,19,-19
alex_disgust.wav,43,3,2,56,86,22,397,7,-37,6,1,0,0,1,1,0,0,0,0,0,0,1,103,2,1,12,0,8,2,2,0,0,3,7,3,-203,91,11,29,-31,-7,7,16,-18
alex_disgust.wav,51,6,3,70,99,20,707,6,-37,5,0,0,1,1,1,1,0,0,0,0,0,1,135,1,1,14,0,7,1,5,1,0,0,0,2,-199,105,-9,21,-24,0,5,12,-17
alex_disgust.wav,41,4,2,63,108,13,547,4,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,126,0,0,13,5,0,2,1,0,1,4,6,0,-174,73,-15,31,-24,-7,18,15,-16
alex_disgust.wav,28,1,3,57,103,5,423,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,94,0,0,11,1,2,5,3,1,0,4,13,0,-164,38,2,46,-19,-7,7,16,-21
alex_disgust.wav,34,3,3,70,127,2,414,4,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,114,0,5,14,0,5,3,5,0,0,2,1,0,-146,28,-6,24,-2,4,0,7,-5
alex_disgust.wav,31,2,3,51,83,12,662,6,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,112,0,1,8,4,5,0,9,0,0,2,11,2,-196,91,6,11,-16,-9,15,14,-14
