User Name,User Number,Interaction Type,Interaction Date Time
Test User, 1, Daily Companion Morning, 2016-01-20_12-51-23
Test User, 1, Daily Companion Morning, 2016-01-20_12-53-12
Test User, 1, Daily Companion Morning, 2016-01-20_12-58-13
Test User, 1, Daily Companion Morning, 2016-01-20_13-01-16
Test User, 1, Daily Companion Morning, 2016-01-20_13-04-54
Test User, 1, Daily Companion Morning, 2016-01-20_13-06-20
Test User, 1, Daily Companion Morning, 2016-01-20_13-16-08
Test User, 1, Daily Companion Morning, 2016-01-20_13-20-01
Test User, 1, Daily Companion Morning, 2016-01-20_13-27-52
Test User, 1, Daily Companion End of Day, 2016-01-20_18-19-58
Test User, 1, Daily Companion End of Day, 2016-01-21_12-55-49
Test Person, 2, Daily Companion Morning, 2016-01-21_13-07-26
Test Person, 2, Daily Companion End of Day, 2016-01-21_13-19-13
Test Person, 2, Daily Companion End of Day, 2016-01-21_13-21-19
Test Person, 2, Daily Companion End of Day, 2016-01-21_13-22-34
Test Person, 2, Daily Companion End of Day, 2016-01-21_13-24-10
Test Person, 2, Daily Companion End of Day, 2016-01-21_13-25-11
Test Person, 2, Daily Companion End of Day, 2016-01-21_13-25-24
Test Person, 2, Daily Companion End of Day, 2016-01-21_13-27-35
Test User, 1, Daily Companion End of Day, 2016-01-21_14-46-05
Test User, 1, Daily Companion End of Day, 2016-01-21_14-54-32
Test User, 1, Daily Companion End of Day, 2016-01-21_14-57-40
Test User, 1, Daily Companion End of Day, 2016-01-21_15-00-58
Test User, 1, Daily Companion End of Day, 2016-01-21_15-04-31
Test User, 1, Daily Companion End of Day, 2016-01-21_15-13-09
Test User, 1, Daily Companion End of Day, 2016-01-21_15-18-42
Test User, 1, Daily Companion End of Day, 2016-01-21_15-22-46
Test User, 1, Daily Companion End of Day, 2016-01-21_15-27-06
Test User, 1, Daily Companion End of Day, 2016-01-21_15-35-41
Test User, 1, Daily Companion End of Day, 2016-01-21_15-43-57
Test User, 1, Daily Companion End of Day, 2016-01-21_15-45-17
Test User, 1, Daily Companion End of Day, 2016-01-21_16-05-36
Test User, 1, Daily Companion End of Day, 2016-01-21_16-20-45
Test User, 1, Daily Companion End of Day, 2016-01-21_23-27-13
Test User, 1, Daily Companion End of Day, 2016-01-21_23-28-27
Test User, 1, Daily Companion End of Day, 2016-01-21_23-29-32
Test User, 1, Daily Companion End of Day, 2016-01-21_23-31-52
Test User, 1, Daily Companion End of Day, 2016-01-21_23-35-21
Test User, 1, Daily Companion End of Day, 2016-01-21_23-36-59
Test User, 1, Daily Companion End of Day, 2016-01-21_23-40-16
Test User, 1, Daily Companion End of Day, 2016-01-22_12-46-40
Test User, 1, Daily Companion End of Day, 2016-01-22_12-56-32
